Date,Open,High,Low,Close
07/17/2017,95.1,95.35,95.02,95.13
07/14/2017,95.8,95.83,95.09,95.15
07/13/2017,95.85,95.92,95.46,95.73
07/12/2017,95.71,95.98,95.51,95.77
07/11/2017,96.07,96.21,95.65,95.76
07/10/2017,96.04,96.2,95.95,96.06
07/07/2017,95.8,96.15,95.75,96.0
07/06/2017,96.19,96.34,95.79,95.81
07/05/2017,96.19,96.51,96.07,96.19
07/04/2017,96.16,96.33,96.05,96.26
07/03/2017,95.64,96.24,95.63,96.2
06/30/2017,95.54,95.83,95.47,95.63
06/29/2017,96.04,96.05,95.53,95.56
06/28/2017,96.43,96.62,95.97,96.04
06/27/2017,97.43,97.45,96.34,96.48
06/26/2017,97.3,97.47,97.11,97.42
06/23/2017,97.56,97.58,97.18,97.3
06/22/2017,97.55,97.65,97.43,97.54
06/21/2017,97.73,97.8,97.52,97.56
06/20/2017,97.54,97.87,97.43,97.75
06/19/2017,97.11,97.58,97.05,97.52
06/16/2017,97.48,97.56,97.1,97.16
06/15/2017,96.93,97.56,96.84,97.47
06/14/2017,97.01,97.13,96.32,96.96
06/13/2017,97.17,97.28,96.95,97.0
06/12/2017,97.27,97.32,97.04,97.16
06/09/2017,97.18,97.5,97.15,97.28
06/08/2017,96.71,97.23,96.59,97.21
06/07/2017,96.54,96.98,96.51,96.69
06/06/2017,96.79,96.8,96.52,96.53
06/05/2017,96.68,96.97,96.7,96.8
06/02/2017,97.19,97.31,96.65,96.67
06/01/2017,96.99,97.32,96.9,97.2
05/31/2017,97.43,97.5,96.86,96.98
05/30/2017,97.63,97.78,97.22,97.4
05/29/2017,97.45,97.61,97.33,97.59
05/26/2017,97.23,97.55,97.04,97.4
05/25/2017,97.07,97.28,96.88,97.2
05/24/2017,97.34,97.47,97.03,97.1
05/23/2017,96.95,97.42,96.8,97.34
05/22/2017,97.16,97.44,96.8,96.99
05/19/2017,97.85,97.85,97.08,97.12
05/18/2017,97.44,98.07,97.37,97.88
05/17/2017,98.09,98.13,97.33,97.39
05/16/2017,98.88,98.89,98.08,98.19
05/15/2017,99.17,99.26,98.79,98.88
05/12/2017,99.63,99.7,99.16,99.19
05/11/2017,99.66,99.89,99.49,99.65
05/10/2017,99.48,99.72,99.37,99.63
05/09/2017,99.14,99.69,99.08,99.54
05/08/2017,98.5,99.18,98.6,99.16
05/05/2017,98.77,98.98,98.54,98.58
05/04/2017,99.35,99.46,98.71,98.78
05/03/2017,98.92,99.39,98.89,99.38
05/02/2017,99.07,99.22,98.92,98.95
05/01/2017,98.94,99.21,98.89,99.13
04/28/2017,99.17,99.25,98.72,99.04
04/27/2017,98.95,99.33,98.81,99.15
04/26/2017,98.85,99.33,98.73,98.98
04/25/2017,99.05,99.22,98.7,98.84
04/24/2017,99.75,99.33,98.91,99.04
04/21/2017,99.83,100.03,99.65,99.98
04/20/2017,99.78,99.85,99.37,99.84
04/19/2017,99.51,99.89,99.51,99.81
04/18/2017,100.34,100.4,99.47,99.5
04/17/2017,100.49,100.47,100.0,100.3
04/14/2017,100.16,100.6,100.01,100.58
04/13/2017,100.16,100.6,100.01,100.58
04/12/2017,100.73,100.82,100.09,100.18
04/11/2017,100.97,101.08,100.58,100.71
04/10/2017,101.15,101.34,100.94,101.01
04/07/2017,100.73,101.26,100.52,101.13
04/06/2017,100.5,100.77,100.38,100.72
04/05/2017,100.52,100.85,100.41,100.52
04/04/2017,100.49,100.73,100.42,100.49
04/03/2017,100.51,100.69,100.37,100.49
03/31/2017,100.49,100.65,100.25,100.56
03/30/2017,99.96,100.6,99.93,100.51
03/29/2017,99.7,100.13,99.67,99.93
03/28/2017,99.22,99.79,99.12,99.68
03/27/2017,99.43,99.38,98.86,99.23
03/24/2017,99.77,100.0,99.53,99.77
